User,Item,Rating
0,Mercimek Çorbası,4.0
0,Ezogelin Çorbası,3.0
0,Şehriye Çorbası,1.0
0,Yayla Çorbası,0
0,Kuzu Etli Çorba,3.0
0,Tas Kebabı,3.0
0,Kuzu Şiş,3.0
0,Kabak Graten,3.0
0,Kabak Dolması,3.0
0,Köfte,4.0
0,Tavuk Biftek,3.0
0,Tavuk Sote,4.0
0,Karnıyarık,3.0
0,Kuru Fasulye,3.0
0,Patlıcan Musakka,1.0
0,Bezelye,3.0
0,Tavuk Kanat,3.0
0,Nohut,3.0
0,Türlü,4.0
0,Ispanak,4.0
0,Taze Fasulye,5.0
0,Bamya,4.0
0,Dana Rosto,4.0
0,Pirinç Pilavı,2.0
0,Patates Kızartması,1.0
0,Bulgur Pilavı,3.0
0,Cacık,4.0
0,Çoban Salata,4.0
0,Yoğurt,5.0
0,Pırasa,4.0
0,İrmik Helvası,4.0
0,Turşu,3.0
0,Sütlaç,4.0
0,Kadayıf,2.0
0,Kola,0
0,Ayran,4.0
0,Fanta,2.0
0,Su,5.0
1,Mercimek Çorbası,4.0
1,Ezogelin Çorbası,5.0
1,Şehriye Çorbası,2.0
1,Yayla Çorbası,3.0
1,Kuzu Etli Çorba,4.0
1,Tas Kebabı,4.0
1,Kuzu Şiş,5.0
1,Kabak Graten,2.0
1,Kabak Dolması,3.0
1,Köfte,4.0
1,Tavuk Biftek,4.0
1,Tavuk Sote,4.0
1,Karnıyarık,4.0
1,Kuru Fasulye,4.0
1,Patlıcan Musakka,3.0
1,Bezelye,4.0
1,Tavuk Kanat,4.0
1,Nohut,3.0
1,Türlü,4.0
1,Ispanak,2.0
1,Taze Fasulye,3.0
1,Bamya,4.0
1,Dana Rosto,3.0
1,Pirinç Pilavı,5.0
1,Patates Kızartması,3.0
1,Bulgur Pilavı,5.0
1,Cacık,5.0
1,Çoban Salata,5.0
1,Yoğurt,1.0
1,Pırasa,1.0
1,İrmik Helvası,4.0
1,Turşu,4.0
1,Sütlaç,5.0
1,Kadayıf,5.0
1,Kola,3.0
1,Ayran,4.0
1,Fanta,3.0
1,Su,4.0
2,Mercimek Çorbası,5.0
2,Ezogelin Çorbası,4.0
2,Şehriye Çorbası,2.0
2,Yayla Çorbası,1.0
2,Kuzu Etli Çorba,0
2,Tas Kebabı,5.0
2,Kuzu Şiş,5.0
2,Kabak Graten,1.0
2,Kabak Dolması,1.0
2,Köfte,5.0
2,Tavuk Biftek,5.0
2,Tavuk Sote,5.0
2,Karnıyarık,5.0
2,Kuru Fasulye,5.0
2,Patlıcan Musakka,2.0
2,Bezelye,3.0
2,Tavuk Kanat,1.0
2,Nohut,2.0
2,Türlü,1.0
2,Ispanak,1.0
2,Taze Fasulye,4.0
2,Bamya,1.0
2,Dana Rosto,3.0
2,Pirinç Pilavı,5.0
2,Patates Kızartması,5.0
2,Bulgur Pilavı,3.0
2,Cacık,5.0
2,Çoban Salata,5.0
2,Yoğurt,5.0
2,Pırasa,1.0
2,İrmik Helvası,5.0
2,Turşu,2.0
2,Sütlaç,5.0
2,Kadayıf,5.0
2,Kola,2.0
2,Ayran,5.0
2,Fanta,1.0
2,Su,5.0
3,Mercimek Çorbası,5.0
3,Ezogelin Çorbası,1.0
3,Şehriye Çorbası,3.0
3,Yayla Çorbası,5.0
3,Kuzu Etli Çorba,2.0
3,Tas Kebabı,5.0
3,Kuzu Şiş,5.0
3,Kabak Graten,1.0
3,Kabak Dolması,1.0
3,Köfte,5.0
3,Tavuk Biftek,4.0
3,Tavuk Sote,5.0
3,Karnıyarık,5.0
3,Kuru Fasulye,5.0
3,Patlıcan Musakka,5.0
3,Bezelye,3.0
3,Tavuk Kanat,5.0
3,Nohut,5.0
3,Türlü,3.0
3,Ispanak,2.0
3,Taze Fasulye,3.0
3,Bamya,3.0
3,Dana Rosto,3.0
3,Pirinç Pilavı,5.0
3,Patates Kızartması,5.0
3,Bulgur Pilavı,5.0
3,Cacık,5.0
3,Çoban Salata,5.0
3,Yoğurt,1.0
3,Pırasa,2.0
3,İrmik Helvası,2.0
3,Turşu,5.0
3,Sütlaç,5.0
3,Kadayıf,5.0
3,Kola,5.0
3,Ayran,1.0
3,Fanta,5.0
3,Su,3.0
4,Mercimek Çorbası,5.0
4,Ezogelin Çorbası,5.0
4,Şehriye Çorbası,5.0
4,Yayla Çorbası,3.0
4,Kuzu Etli Çorba,0
4,Tas Kebabı,3.0
4,Kuzu Şiş,4.0
4,Kabak Graten,2.0
4,Kabak Dolması,3.0
4,Köfte,5.0
4,Tavuk Biftek,5.0
4,Tavuk Sote,5.0
4,Karnıyarık,5.0
4,Kuru Fasulye,2.0
4,Patlıcan Musakka,4.0
4,Bezelye,3.0
4,Tavuk Kanat,5.0
4,Nohut,3.0
4,Türlü,5.0
4,Ispanak,2.0
4,Taze Fasulye,1.0
4,Bamya,5.0
4,Dana Rosto,5.0
4,Pirinç Pilavı,5.0
4,Patates Kızartması,5.0
4,Bulgur Pilavı,5.0
4,Cacık,5.0
4,Çoban Salata,5.0
4,Yoğurt,5.0
4,Pırasa,3.0
4,İrmik Helvası,5.0
4,Turşu,5.0
4,Sütlaç,5.0
4,Kadayıf,5.0
4,Kola,3.0
4,Ayran,5.0
4,Fanta,5.0
4,Su,5.0
5,Mercimek Çorbası,5.0
5,Ezogelin Çorbası,5.0
5,Şehriye Çorbası,5.0
5,Yayla Çorbası,5.0
5,Kuzu Etli Çorba,0
5,Tas Kebabı,5.0
5,Kuzu Şiş,5.0
5,Kabak Graten,4.0
5,Kabak Dolması,5.0
5,Köfte,5.0
5,Tavuk Biftek,2.0
5,Tavuk Sote,3.0
5,Karnıyarık,5.0
5,Kuru Fasulye,5.0
5,Patlıcan Musakka,5.0
5,Bezelye,3.0
5,Tavuk Kanat,2.0
5,Nohut,3.0
5,Türlü,5.0
5,Ispanak,5.0
5,Taze Fasulye,5.0
5,Bamya,2.0
5,Dana Rosto,4.0
5,Pirinç Pilavı,5.0
5,Patates Kızartması,5.0
5,Bulgur Pilavı,5.0
5,Cacık,5.0
5,Çoban Salata,5.0
5,Yoğurt,5.0
5,Pırasa,5.0
5,İrmik Helvası,5.0
5,Turşu,5.0
5,Sütlaç,5.0
5,Kadayıf,5.0
5,Kola,5.0
5,Ayran,5.0
5,Fanta,2.0
5,Su,4.0
6,Mercimek Çorbası,4.0
6,Ezogelin Çorbası,4.0
6,Şehriye Çorbası,3.0
6,Yayla Çorbası,5.0
6,Kuzu Etli Çorba,3.0
6,Tas Kebabı,3.0
6,Kuzu Şiş,3.0
6,Kabak Graten,4.0
6,Kabak Dolması,5.0
6,Köfte,5.0
6,Tavuk Biftek,3.0
6,Tavuk Sote,3.0
6,Karnıyarık,4.0
6,Kuru Fasulye,4.0
6,Patlıcan Musakka,4.0
6,Bezelye,2.0
6,Tavuk Kanat,5.0
6,Nohut,4.0
6,Türlü,3.0
6,Ispanak,5.0
6,Taze Fasulye,1.0
6,Bamya,3.0
6,Dana Rosto,3.0
6,Pirinç Pilavı,4.0
6,Patates Kızartması,5.0
6,Bulgur Pilavı,5.0
6,Cacık,4.0
6,Çoban Salata,3.0
6,Yoğurt,4.0
6,Pırasa,1.0
6,İrmik Helvası,3.0
6,Turşu,3.0
6,Sütlaç,5.0
6,Kadayıf,3.0
6,Kola,5.0
6,Ayran,3.0
6,Fanta,1.0
6,Su,5.0
7,Mercimek Çorbası,4.0
7,Ezogelin Çorbası,2.0
7,Şehriye Çorbası,4.0
7,Yayla Çorbası,3.0
7,Kuzu Etli Çorba,0
7,Tas Kebabı,0
7,Kuzu Şiş,5.0
7,Kabak Graten,0
7,Kabak Dolması,2.0
7,Köfte,4.0
7,Tavuk Biftek,5.0
7,Tavuk Sote,5.0
7,Karnıyarık,2.0
7,Kuru Fasulye,1.0
7,Patlıcan Musakka,1.0
7,Bezelye,3.0
7,Tavuk Kanat,5.0
7,Nohut,3.0
7,Türlü,1.0
7,Ispanak,1.0
7,Taze Fasulye,3.0
7,Bamya,0
7,Dana Rosto,5.0
7,Pirinç Pilavı,3.0
7,Patates Kızartması,5.0
7,Bulgur Pilavı,4.0
7,Cacık,1.0
7,Çoban Salata,3.0
7,Yoğurt,5.0
7,Pırasa,1.0
7,İrmik Helvası,5.0
7,Turşu,1.0
7,Sütlaç,2.0
7,Kadayıf,3.0
7,Kola,5.0
7,Ayran,5.0
7,Fanta,2.0
7,Su,5.0
8,Mercimek Çorbası,5.0
8,Ezogelin Çorbası,5.0
8,Şehriye Çorbası,4.0
8,Yayla Çorbası,4.0
8,Kuzu Etli Çorba,0
8,Tas Kebabı,4.0
8,Kuzu Şiş,1.0
8,Kabak Graten,0
8,Kabak Dolması,2.0
8,Köfte,4.0
8,Tavuk Biftek,4.0
8,Tavuk Sote,5.0
8,Karnıyarık,4.0
8,Kuru Fasulye,5.0
8,Patlıcan Musakka,4.0
8,Bezelye,4.0
8,Tavuk Kanat,1.0
8,Nohut,4.0
8,Türlü,3.0
8,Ispanak,2.0
8,Taze Fasulye,4.0
8,Bamya,3.0
8,Dana Rosto,5.0
8,Pirinç Pilavı,4.0
8,Patates Kızartması,5.0
8,Bulgur Pilavı,4.0
8,Cacık,5.0
8,Çoban Salata,5.0
8,Yoğurt,5.0
8,Pırasa,1.0
8,İrmik Helvası,5.0
8,Turşu,4.0
8,Sütlaç,5.0
8,Kadayıf,5.0
8,Kola,5.0
8,Ayran,5.0
8,Fanta,2.0
8,Su,5.0
9,Mercimek Çorbası,5.0
9,Ezogelin Çorbası,3.0
9,Şehriye Çorbası,3.0
9,Yayla Çorbası,5.0
9,Kuzu Etli Çorba,5.0
9,Tas Kebabı,3.0
9,Kuzu Şiş,5.0
9,Kabak Graten,1.0
9,Kabak Dolması,2.0
9,Köfte,3.0
9,Tavuk Biftek,2.0
9,Tavuk Sote,4.0
9,Karnıyarık,4.0
9,Kuru Fasulye,4.0
9,Patlıcan Musakka,2.0
9,Bezelye,1.0
9,Tavuk Kanat,2.0
9,Nohut,1.0
9,Türlü,1.0
9,Ispanak,0
9,Taze Fasulye,0
9,Bamya,0
9,Dana Rosto,5.0
9,Pirinç Pilavı,5.0
9,Patates Kızartması,4.0
9,Bulgur Pilavı,3.0
9,Cacık,5.0
9,Çoban Salata,5.0
9,Yoğurt,5.0
9,Pırasa,1.0
9,İrmik Helvası,3.0
9,Turşu,5.0
9,Sütlaç,2.0
9,Kadayıf,2.0
9,Kola,5.0
9,Ayran,5.0
9,Fanta,1.0
9,Su,4.0
10,Mercimek Çorbası,4.0
10,Ezogelin Çorbası,5.0
10,Şehriye Çorbası,3.0
10,Yayla Çorbası,3.0
10,Kuzu Etli Çorba,5.0
10,Tas Kebabı,5.0
10,Kuzu Şiş,5.0
10,Kabak Graten,3.0
10,Kabak Dolması,3.0
10,Köfte,5.0
10,Tavuk Biftek,5.0
10,Tavuk Sote,4.0
10,Karnıyarık,4.0
10,Kuru Fasulye,5.0
10,Patlıcan Musakka,5.0
10,Bezelye,3.0
10,Tavuk Kanat,5.0
10,Nohut,4.0
10,Türlü,2.0
10,Ispanak,2.0
10,Taze Fasulye,3.0
10,Bamya,4.0
10,Dana Rosto,5.0
10,Pirinç Pilavı,5.0
10,Patates Kızartması,5.0
10,Bulgur Pilavı,4.0
10,Cacık,4.0
10,Çoban Salata,5.0
10,Yoğurt,5.0
10,Pırasa,2.0
10,İrmik Helvası,3.0
10,Turşu,4.0
10,Sütlaç,3.0
10,Kadayıf,5.0
10,Kola,3.0
10,Ayran,4.0
10,Fanta,3.0
10,Su,5.0
11,Mercimek Çorbası,3.0
11,Ezogelin Çorbası,3.0
11,Şehriye Çorbası,4.0
11,Yayla Çorbası,5.0
11,Kuzu Etli Çorba,5.0
11,Tas Kebabı,5.0
11,Kuzu Şiş,5.0
11,Kabak Graten,1.0
11,Kabak Dolması,3.0
11,Köfte,5.0
11,Tavuk Biftek,5.0
11,Tavuk Sote,5.0
11,Karnıyarık,5.0
11,Kuru Fasulye,5.0
11,Patlıcan Musakka,5.0
11,Bezelye,2.0
11,Tavuk Kanat,5.0
11,Nohut,3.0
11,Türlü,2.0
11,Ispanak,5.0
11,Taze Fasulye,4.0
11,Bamya,1.0
11,Dana Rosto,5.0
11,Pirinç Pilavı,4.0
11,Patates Kızartması,5.0
11,Bulgur Pilavı,3.0
11,Cacık,5.0
11,Çoban Salata,5.0
11,Yoğurt,5.0
11,Pırasa,4.0
11,İrmik Helvası,5.0
11,Turşu,5.0
11,Sütlaç,5.0
11,Kadayıf,5.0
11,Kola,5.0
11,Ayran,5.0
11,Fanta,5.0
11,Su,5.0
12,Mercimek Çorbası,4.0
12,Ezogelin Çorbası,4.0
12,Şehriye Çorbası,5.0
12,Yayla Çorbası,5.0
12,Kuzu Etli Çorba,2.0
12,Tas Kebabı,3.0
12,Kuzu Şiş,4.0
12,Kabak Graten,5.0
12,Kabak Dolması,5.0
12,Köfte,4.0
12,Tavuk Biftek,3.0
12,Tavuk Sote,1.0
12,Karnıyarık,5.0
12,Kuru Fasulye,4.0
12,Patlıcan Musakka,5.0
12,Bezelye,5.0
12,Tavuk Kanat,3.0
12,Nohut,4.0
12,Türlü,4.0
12,Ispanak,5.0
12,Taze Fasulye,5.0
12,Bamya,5.0
12,Dana Rosto,3.0
12,Pirinç Pilavı,1.0
12,Patates Kızartması,3.0
12,Bulgur Pilavı,5.0
12,Cacık,5.0
12,Çoban Salata,5.0
12,Yoğurt,5.0
12,Pırasa,0
12,İrmik Helvası,5.0
12,Turşu,5.0
12,Sütlaç,4.0
12,Kadayıf,4.0
12,Kola,3.0
12,Ayran,5.0
12,Fanta,2.0
12,Su,5.0
13,Mercimek Çorbası,4.0
13,Ezogelin Çorbası,4.0
13,Şehriye Çorbası,4.0
13,Yayla Çorbası,4.0
13,Kuzu Etli Çorba,4.0
13,Tas Kebabı,4.0
13,Kuzu Şiş,5.0
13,Kabak Graten,1.0
13,Kabak Dolması,1.0
13,Köfte,4.0
13,Tavuk Biftek,4.0
13,Tavuk Sote,4.0
13,Karnıyarık,3.0
13,Kuru Fasulye,2.0
13,Patlıcan Musakka,3.0
13,Bezelye,3.0
13,Tavuk Kanat,5.0
13,Nohut,2.0
13,Türlü,2.0
13,Ispanak,3.0
13,Taze Fasulye,1.0
13,Bamya,1.0
13,Dana Rosto,4.0
13,Pirinç Pilavı,4.0
13,Patates Kızartması,4.0
13,Bulgur Pilavı,2.0
13,Cacık,3.0
13,Çoban Salata,3.0
13,Yoğurt,4.0
13,Pırasa,1.0
13,İrmik Helvası,3.0
13,Turşu,3.0
13,Sütlaç,4.0
13,Kadayıf,5.0
13,Kola,2.0
13,Ayran,5.0
13,Fanta,4.0
13,Su,5.0
14,Mercimek Çorbası,5.0
14,Ezogelin Çorbası,5.0
14,Şehriye Çorbası,5.0
14,Yayla Çorbası,5.0
14,Kuzu Etli Çorba,0
14,Tas Kebabı,5.0
14,Kuzu Şiş,5.0
14,Kabak Graten,0
14,Kabak Dolması,4.0
14,Köfte,5.0
14,Tavuk Biftek,0
14,Tavuk Sote,4.0
14,Karnıyarık,5.0
14,Kuru Fasulye,4.0
14,Patlıcan Musakka,4.0
14,Bezelye,3.0
14,Tavuk Kanat,3.0
14,Nohut,3.0
14,Türlü,3.0
14,Ispanak,3.0
14,Taze Fasulye,3.0
14,Bamya,3.0
14,Dana Rosto,0
14,Pirinç Pilavı,5.0
14,Patates Kızartması,5.0
14,Bulgur Pilavı,4.0
14,Cacık,5.0
14,Çoban Salata,5.0
14,Yoğurt,4.0
14,Pırasa,3.0
14,İrmik Helvası,5.0
14,Turşu,4.0
14,Sütlaç,4.0
14,Kadayıf,4.0
14,Kola,3.0
14,Ayran,4.0
14,Fanta,3.0
14,Su,5.0
15,Mercimek Çorbası,5.0
15,Ezogelin Çorbası,4.0
15,Şehriye Çorbası,2.0
15,Yayla Çorbası,4.0
15,Kuzu Etli Çorba,0
15,Tas Kebabı,4.0
15,Kuzu Şiş,5.0
15,Kabak Graten,0
15,Kabak Dolması,1.0
15,Köfte,4.0
15,Tavuk Biftek,5.0
15,Tavuk Sote,5.0
15,Karnıyarık,5.0
15,Kuru Fasulye,5.0
15,Patlıcan Musakka,5.0
15,Bezelye,1.0
15,Tavuk Kanat,5.0
15,Nohut,3.0
15,Türlü,1.0
15,Ispanak,3.0
15,Taze Fasulye,1.0
15,Bamya,1.0
15,Dana Rosto,4.0
15,Pirinç Pilavı,5.0
15,Patates Kızartması,5.0
15,Bulgur Pilavı,5.0
15,Cacık,5.0
15,Çoban Salata,5.0
15,Yoğurt,5.0
15,Pırasa,1.0
15,İrmik Helvası,3.0
15,Turşu,4.0
15,Sütlaç,5.0
15,Kadayıf,4.0
15,Kola,5.0
15,Ayran,5.0
15,Fanta,5.0
15,Su,5.0
16,Mercimek Çorbası,4.0
16,Ezogelin Çorbası,4.0
16,Şehriye Çorbası,3.0
16,Yayla Çorbası,1.0
16,Kuzu Etli Çorba,1.0
16,Tas Kebabı,4.0
16,Kuzu Şiş,5.0
16,Kabak Graten,4.0
16,Kabak Dolması,5.0
16,Köfte,5.0
16,Tavuk Biftek,5.0
16,Tavuk Sote,5.0
16,Karnıyarık,5.0
16,Kuru Fasulye,1.0
16,Patlıcan Musakka,5.0
16,Bezelye,3.0
16,Tavuk Kanat,4.0
16,Nohut,3.0
16,Türlü,3.0
16,Ispanak,4.0
16,Taze Fasulye,5.0
16,Bamya,3.0
16,Dana Rosto,5.0
16,Pirinç Pilavı,2.0
